,word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
346,血液,肉,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2
347,新娘,公主,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3
348,任务,稻草,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,裁判官,法官,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
350,分界线,国境,3,4,4,4,5,4,4,4,5,6,4,4,5,4,4
351,书,正文,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
352,癌症,疾病,5,5,6,5,6,6,5,6,5,6,6,5,6,6,6
353,优雅,风格,3,3,4,4,3,3,3,4,4,4,4,3,4,3,4
354,星,明亮,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1
355,失败,使气馁,2,1,1,2,3,2,1,2,2,2,2,2,2,2,3
356,掩盖,保护,2,3,3,3,2,3,3,3,3,4,3,3,3,3,4
357,偷,购买,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1
358,说话,低语,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
359,提醒,忘记,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0
360,问,求情,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
361,听,听见,6,5,6,5,5,6,5,6,5,6,6,6,6,5,6
362,侮辱,得罪,4,3,4,4,4,4,4,4,4,4,5,5,4,4,4
363,完成,毕业,5,4,5,5,3,4,5,5,4,5,5,4,5,5,5
364,玩,搏斗,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
365,搜索,看,3,2,3,3,3,3,3,3,2,3,2,3,2,3,3
366,告诉,提醒,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
367,攻击,加剧,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2
368,接受,原谅,2,3,3,3,2,3,2,3,3,3,3,3,2,3,3
369,创建,做,4,4,4,4,4,5,4,4,3,4,4,4,4,4,5
370,戏弄,伤害,2,2,2,3,2,3,2,2,2,2,2,2,3,2,2
371,腐烂,毁灭,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3
372,找到,消失,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0
373,断绝亲子关系,疏忽,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1
374,记得,想,4,3,3,4,4,4,3,5,3,4,4,4,4,4,4
375,接受,承认,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
376,给,偷,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
377,咬,搏斗,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
378,成功,失败,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,说谎,装作,3,3,4,4,3,4,4,3,3,4,4,4,4,3,4
380,聚集,收集,5,4,5,5,5,4,5,5,4,4,5,5,4,4,4
381,出席,到达,3,3,4,4,3,3,4,4,3,3,4,3,4,4,3
382,做,戒除,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
383,批评,讨厌,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2
384,离开,参加,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
385,搜索,狩猎,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3
386,逃跑,逃走,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6
387,杀,防守,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,打,吸引,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
389,使心烦,受伤,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
390,讨论,说明,4,3,4,4,4,3,3,3,3,3,4,4,3,3,4
391,忽略,避免,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
392,使灰心,使气馁,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6
393,追求,说服,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2
394,离开,徘徊,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
395,羞辱,安慰,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
396,停,驾驶,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0
397,傻笑,大笑,4,4,4,3,4,4,3,3,4,4,4,4,4,5,4
398,允许,反驳,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1
399,搜索,查询,5,5,5,5,5,5,4,4,5,5,5,4,5,4,5
400,离开,忽略,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
401,分数,评分,5,4,5,4,4,4,5,4,4,5,5,5,5,4,4
402,分析,评估,5,5,5,5,5,4,4,5,4,4,5,5,5,4,4
403,出席,争论,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
404,步行,站立,2,2,1,1,1,1,1,1,1,2,1,2,1,1,2
405,混合,溶解,4,3,4,3,3,3,3,3,3,4,3,3,3,3,3
406,收藏,保存,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
407,拿,交付,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2
408,做,赚,3,3,2,2,2,2,2,3,2,2,1,3,3,2,2
409,捏,用拳猛击,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1
410,放开,按下,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1
411,担心,浪费,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
412,知道,理解,5,5,5,4,5,4,5,5,5,5,5,5,5,4,4
413,选择,挑选,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5
414,了解,原谅,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2
415,借,乞求,2,3,3,1,2,3,3,2,3,3,2,3,2,2,3
416,拿,拥有,3,3,2,3,3,3,4,3,3,2,3,3,4,3,3
417,离开,留,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
418,到达,离开,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
419,创建,潜水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,享受,娱乐,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
421,建议,劝告,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
422,编织,移动,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1
423,运输,电梯,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
424,留,保留,6,6,5,5,5,5,5,6,5,5,6,5,6,5,5
425,同意,争论,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
426,选择,选举,4,5,4,5,5,5,5,4,5,5,5,4,5,4,4
427,假设,预测,2,2,2,3,3,2,2,3,2,2,3,2,3,2,3
428,欲望,想要,5,5,5,5,6,4,4,5,5,4,4,5,6,5,5
429,赦免,原谅,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5
430,啜,大口地吃,3,2,3,2,4,5,2,2,3,3,2,2,3,3,2
431,驱逐,离开,3,3,2,3,2,3,3,2,3,2,3,3,2,3,3
432,坠落,伤害,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1
433,成功,尝试,2,2,2,2,1,3,2,2,3,3,2,2,2,2,2
434,承诺,发誓,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5
435,带来,抱怨,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
436,成长,增加,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
437,让,允许,5,6,5,6,6,6,5,5,6,5,5,6,5,5,5
438,敬礼,演出,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
439,聚集,见面,2,2,3,2,3,2,2,2,2,3,2,2,2,2,3
440,生活,生存,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5
441,安排,组织,4,5,4,5,5,4,4,4,5,4,4,4,4,4,4
442,降低,减少,5,6,5,6,6,5,5,5,6,5,5,5,5,5,5
443,找到,逃逸,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1
444,珍爱,保持,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2
445,给,知道,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
446,装作,似乎,4,5,4,4,4,3,3,4,4,3,4,3,4,4,3
447,花费,节约,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
448,拖着脚走,骑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,煮沸,炒,3,2,3,3,2,2,2,2,2,2,2,2,3,2,3
450,漂移,流,4,4,4,5,3,4,4,4,4,3,4,3,4,4,4
451,知道,相信,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3
452,举起,提高,5,4,4,5,4,5,5,4,5,4,5,4,5,5,5
453,发射,发送,2,2,2,4,2,3,4,2,2,4,4,3,3,3,3
454,竞争,完成,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
455,抖动,搅拌,4,2,3,3,3,4,3,3,4,3,3,3,4,4,3
456,给,断绝亲子关系,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,参与,加入,5,5,6,6,6,5,5,5,5,5,5,5,6,5,5
458,走,发送,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
459,获得,偷,3,2,2,3,3,3,2,3,2,2,3,2,2,3,3
460,发光,照耀,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
461,提醒,卖,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
462,争论,叫喊,3,2,2,3,2,2,2,2,1,2,2,2,2,2,2
463,收到,接受,5,5,5,6,5,5,6,5,5,5,6,6,5,5,6
464,混合,联合,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
465,控制,停止,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
466,做,发生,3,1,2,3,2,2,1,2,3,2,2,3,2,2,1
467,离开,走开,5,6,6,6,6,6,6,6,5,5,5,5,6,5,6
468,读,理解,4,3,4,4,4,3,3,3,4,3,3,4,3,3,3
469,装作,想像,2,2,2,2,3,2,2,2,3,3,3,2,2,2,3
470,跟随,追逐,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
471,加,除,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1
