,word1,word2,pred_sl,pred_sd,act_sl,act_sd,pred_act_gap
437,让,允许,5.4,0.51,3.45,0.97,1.9500000000000002
438,敬礼,演出,1.0,0.0,0.0,0.0,1.0
439,聚集,见面,2.27,0.46,0.64,1.07,1.63
440,生活,生存,5.07,0.26,2.45,1.35,2.62
441,安排,组织,4.27,0.46,0.82,1.75,3.4499999999999997
442,降低,减少,5.27,0.46,3.82,1.99,1.4499999999999997
443,找到,逃逸,0.4,0.51,0.0,0.0,0.4
444,珍爱,保持,2.13,0.35,0.45,1.08,1.68
445,给,知道,0.07,0.26,0.0,0.0,0.07
446,装作,似乎,3.73,0.59,0.27,0.95,3.46
447,花费,节约,0.8,0.41,0.64,1.16,0.16000000000000003
448,拖着脚走,骑,0.0,0.0,0.0,0.0,0.0
449,煮沸,炒,2.33,0.49,0.73,1.49,1.6
450,漂移,流,3.87,0.52,2.0,1.63,1.87
451,知道,相信,3.2,0.41,0.91,1.41,2.29
452,举起,提高,4.6,0.51,3.55,1.29,1.0499999999999998
453,发射,发送,2.87,0.83,2.91,2.16,-0.040000000000000036
454,竞争,完成,1.0,0.0,0.0,0.0,1.0
455,抖动,搅拌,3.27,0.59,1.91,1.37,1.36
456,给,断绝亲子关系,0.0,0.0,0.0,0.0,0.0
457,参与,加入,5.27,0.46,4.18,0.84,1.0899999999999999
458,走,发送,0.87,0.35,0.09,0.32,0.78
459,获得,偷,2.53,0.52,1.27,1.35,1.2599999999999998
460,发光,照耀,4.93,0.26,3.73,1.2,1.1999999999999997
461,提醒,卖,0.07,0.26,0.0,0.0,0.07
462,争论,叫喊,2.07,0.46,1.09,1.14,0.9799999999999998
463,收到,接受,5.33,0.49,0.91,1.41,4.42
464,混合,联合,4.07,0.26,1.64,1.77,2.4300000000000006
465,控制,停止,2.0,0.0,0.27,0.48,1.73
466,做,发生,2.07,0.7,0.0,0.0,2.07
467,离开,走开,5.6,0.51,4.09,1.32,1.5099999999999998
468,读,理解,3.4,0.51,0.64,1.26,2.76
469,装作,想像,2.33,0.49,0.18,0.63,2.15
470,跟随,追逐,4.07,0.26,2.82,1.56,1.2500000000000004
471,加,除,0.67,0.49,0.45,0.84,0.22000000000000003
